,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
262,There Is More (Instrumental Version),9,2bz3evWW6pQ1zkgyO40RtC,Lettered Love - Instrumental Version,spotify:track:2bz3evWW6pQ1zkgyO40RtC,0.226,0.461,0.442,0.911,0.0795,-11.357,0.029,91.991,0.177,27
263,There Is More (Instrumental Version),10,6XS8GIIyIEtWrujPBHTriO,The Lord's Prayer - Instrumental Version,spotify:track:6XS8GIIyIEtWrujPBHTriO,0.000394,0.411,0.581,0.895,0.0854,-9.485,0.0302,137.991,0.0885,29
264,There Is More (Instrumental Version),11,2LOG3QmvzYR4xIufXHS1ot,New Wine - Instrumental Version,spotify:track:2LOG3QmvzYR4xIufXHS1ot,0.0349,0.376,0.234,0.887,0.11,-12.601,0.0319,140.035,0.0723,30
265,There Is More (Instrumental Version),12,7qbUjczokcnGFIwx68aBqV,So Will I (100 Billion X) - Instrumental Version,spotify:track:7qbUjczokcnGFIwx68aBqV,0.000676,0.442,0.497,0.916,0.463,-10.766,0.0301,128.047,0.0388,31
266,There Is More (Instrumental),1,7l7hSZN1voZt2s3bDp1gFH,Who You Say I Am - Instrumental,spotify:track:7l7hSZN1voZt2s3bDp1gFH,3.17e-05,0.14,0.674,0.917,0.0904,-8.165,0.0349,172.028,0.0795,29
267,There Is More (Instrumental),2,1Zj0VXbNpGDaAnP9ZbLAHs,You Are Life - Instrumental,spotify:track:1Zj0VXbNpGDaAnP9ZbLAHs,0.000582,0.519,0.842,0.92,0.171,-9.225,0.0341,114.985,0.29,20
268,There Is More (Instrumental),3,2fYOC3QwklTA5r9mgWK5LL,The Passion - Instrumental,spotify:track:2fYOC3QwklTA5r9mgWK5LL,0.000669,0.51,0.631,0.855,0.0632,-9.438,0.0303,140.029,0.191,20
269,There Is More (Instrumental),4,7jSruM6a9UFksHpTOv1o5A,God So Loved - Instrumental,spotify:track:7jSruM6a9UFksHpTOv1o5A,0.00839,0.475,0.426,0.973,0.113,-10.345,0.034,139.014,0.0893,26
270,There Is More (Instrumental),5,2PFgzyd8dkyvP9yPPrQtoX,Be Still - Instrumental,spotify:track:2PFgzyd8dkyvP9yPPrQtoX,0.0312,0.389,0.356,0.911,0.0957,-12.128,0.027,148.988,0.0556,27
271,There Is More (Instrumental),6,3lLM24MkAPHkoJcUlFRAFD,Remembrance - Instrumental,spotify:track:3lLM24MkAPHkoJcUlFRAFD,0.11,0.389,0.384,0.915,0.11,-11.098,0.0277,140.044,0.065,26
272,There Is More (Instrumental),7,5ahVd5kIj6YXmcgpRvk7MU,Valentine - Instrumental,spotify:track:5ahVd5kIj6YXmcgpRvk7MU,0.000329,0.394,0.437,0.897,0.326,-11.761,0.0299,81.018,0.0518,20
273,There Is More (Instrumental),8,3VjTEcF25pkOUBLRAJ46Y8,Touch Of Heaven - Instrumental,spotify:track:3VjTEcF25pkOUBLRAJ46Y8,0.0652,0.455,0.364,0.889,0.27,-10.856,0.0302,134.982,0.0376,28
274,There Is More (Instrumental),9,3UrehExFYF5VY7YUNMKJng,Lettered Love - Instrumental,spotify:track:3UrehExFYF5VY7YUNMKJng,0.177,0.38,0.447,0.899,0.0772,-11.326,0.0295,92.022,0.17,24
275,There Is More (Instrumental),10,7pSIUGsscxMTHpiQUb2a4v,The Lord's Prayer - Instrumental,spotify:track:7pSIUGsscxMTHpiQUb2a4v,0.000392,0.407,0.575,0.858,0.085,-9.451,0.0296,137.99,0.0738,25
276,There Is More (Instrumental),11,4a52gMeCBYQxXKGNjVjf30,New Wine - Instrumental,spotify:track:4a52gMeCBYQxXKGNjVjf30,0.0371,0.375,0.226,0.906,0.109,-12.655,0.0326,140.056,0.0667,28
